country,developed,renewable_eng,gdppc_growth,capital_formation,pop_growth,trade
"Congo, Dem. Rep.",0,92.87131108,5.895886034,4.8003289,3.319676665,78.69015013
Central African Republic,0,76.90304119,-0.282852498,92.2595954,0.364290952,53.09509202
"Congo, Rep.",0,62.3963358,3.400525489,14.33071451,2.440638958,104.9932781
Switzerland,1,23.41814723,1.206825727,5.803424607,1.220103973,116.8601164
Cote d'Ivoire,0,72.22378455,6.10311564,21.67407195,2.504548687,73.64524821
Chile,1,26.71709933,0.692556387,-10.19868192,1.061145126,65.27258784
Cameroon,0,76.97539079,3.061836081,12.02352256,2.701555717,55.06479448
China,0,12.22382301,6.883229179,7.472976214,0.506311592,44.90521595
Colombia,0,24.44180909,3.448395232,11.95356021,1.01048975,37.48746564
Costa Rica,0,37.84254113,2.365020868,3.148286787,1.117473924,67.04554822
Cuba,0,18.79844289,0.831466817,-4.868068294,0.214098396,39.27420155
Cabo Verde,0,26.19642302,-0.654704681,18.1385907,1.266209611,101.0464397
Cyprus,1,9.363295684,-0.777603675,2.88010079,0.733317428,131.1157768
Czech Republic,1,14.83074209,2.154500479,7.146776637,0.105277582,157.5749822
Germany,1,13.37887823,1.784341886,3.469324808,0.416877359,84.62009339
Djibouti,0,34.15104745,5.226585759,-95.6988733,1.728785489,299.3678926
Denmark,1,30.27163128,1.105433466,4.289789893,0.507053283,102.2639163
Dominican Republic,0,18.01902034,5.818809908,8.943809008,1.157205552,55.49642325
Algeria,0,0.068640475,1.710449516,3.836495928,2.033592452,62.41431637
Ecuador,0,12.21813952,2.198941227,3.367494129,1.543740767,57.70816899
Estonia,1,25.32605914,3.257769918,4.432340871,-0.262256175,159.1951879
"Egypt, Arab Rep.",0,5.866044914,0.61685323,1.660072868,2.25924945,36.92018779
Spain,1,17.3517358,1.687449704,5.843357726,-0.298951059,63.86560972
Ethiopia,0,92.06765188,7.213187282,24.39042714,2.799921862,40.74108415
Finland,1,41.23524065,-0.776108383,-0.90221314,0.413560208,74.11272276
France,1,13.34702464,0.479080617,3.238794549,0.473703877,60.47879652
Gabon,0,81.35160969,0.61986238,13.48776682,3.606514936,73.52032902
United Kingdom,1,7.395220456,1.854584591,9.467634484,0.736463979,58.39839009
Georgia,0,31.89297634,4.382901471,31.00530437,0.0469539,96.77483614
Ghana,0,45.04949208,0.566072146,-1.168031801,2.291780693,65.17054908
Greenland,0,14.90047601,5.091927333,-21.92638459,-0.333398667,87.08858379
"Gambia, The",0,51.93079476,-4.34615116,1.989076762,3.026045177,58.25793078
Guinea,0,78.51787531,1.306420595,5.450226513,2.342417883,76.77196353
Equatorial Guinea,0,7.643274898,-3.68850197,-9.602415344,4.172454906,104.3791987
Greece,1,16.08579272,1.413057813,6.650009358,-0.66611329,67.1494539
Guatemala,0,59.90100231,2.653912156,-1.291646598,1.728757603,55.08327953
Guinea-Bissau,0,87.06001713,-1.671171599,58.18558973,2.645231787,51.59301419
Honduras,0,54.04094179,1.250591786,9.377573348,1.769416748,112.9750973
Croatia,1,33.64819127,0.065327718,-3.263697047,-0.407343185,86.97013401
Haiti,0,78.39123834,1.94779192,8.182783583,1.416131147,43.3712473
Hungary,1,15.67454982,4.510099905,12.86388385,-0.269378767,168.2428365
Indonesia,0,37.45426835,3.63914313,5.657952324,1.310876905,48.08017559
Ireland,1,8.520669791,7.766030648,26.76056511,0.731001377,201.9903458
Israel,0,3.680132349,1.785509965,5.982839818,1.919543799,62.92097728
India,0,36.65183786,6.186731983,7.693622236,1.145623988,48.92218575
"Iran, Islamic Rep.",0,0.939119651,3.274962297,5.039055296,1.278126816,44.60442031
Iceland,1,76.33887098,0.95324298,18.55523859,1.112504755,96.99386527
Italy,1,17.09035884,-0.91781388,1.007782283,0.917504096,55.32211515
Jamaica,0,16.11678991,0.116180484,3.840119537,0.572985316,84.74962802
Jordan,0,3.130551865,-1.247653818,0.097674421,4.583580445,109.9391876
Japan,1,5.625025887,0.507999337,3.446829144,-0.132694222,37.5457698
Kenya,0,75.5181686,2.694788349,10.85102107,2.55944065,51.29830551
Kyrgyz Republic,0,26.60830703,1.957996974,14.88395798,2.006107899,125.1261811
Cambodia,0,68.00791011,5.401782611,8.753959118,1.638083897,129.6122323
Kiribati,0,3.465024455,-2.060395026,-4.101438963,1.381643013,116.1183369
Comoros,0,46.61559093,-0.304632305,2.582950756,2.383357478,39.2358232
"Korea, Rep.",1,2.838191508,2.556219509,3.552043238,0.628149861,90.6144419
Kuwait,1,0,-3.980074304,4.548098708,4.561072439,100.0369451
Kazakhstan,1,1.305655116,2.676714897,8.6,1.472676743,64.97203465
Lao PDR,0,60.47414119,6.016330555,10.97095306,1.493868185,99.05973829
Lebanon,0,3.233519146,-3.228929666,-4.934937377,5.713767406,79.75203386
Sri Lanka,0,57.58518113,3.985755206,11.53131379,0.933207943,50.2508827
Liberia,0,83.93553433,-1.866818935,0.31496063,2.583161272,136.9687055
Lesotho,0,51.38889849,2.132870007,13.26999765,0.732722394,123.3243277
Lithuania,1,27.70505248,4.431087654,6.804592978,-0.859827343,142.7216428
Luxembourg,1,6.883231945,1.86727724,12.1943105,2.356978705,392.8041835
Latvia,1,40.2360616,2.029984434,-7.041499434,-0.941743354,125.2737169
Morocco,0,11.71858728,1.229493548,-2.196791802,1.403845047,81.77227419
Moldova,0,13.04735002,5.063648262,7.948168286,-0.060955534,93.15926789
Montenegro,1,45.99433488,1.685007436,2.714521011,0.097022011,100.12762
Madagascar,0,72.02652708,0.585372348,-7.818795754,2.700996011,61.96942267
Marshall Islands,0,12.01899833,-1.357486931,-13.12168962,0.422374157,148.0296389
North Macedonia,0,21.20423858,3.543936934,10.67302798,0.082237124,112.537929
Mali,0,64.59126071,4.021826002,6.954886679,2.901921705,60.63870749
Myanmar,0,66.13285379,7.10610606,7.834271225,0.822712022,42.25894318
Mongolia,0,3.269842824,5.745360276,-30.06406569,2.00339925,109.3223119
"Macao SAR, China",1,10.02047062,-3.349794559,36.31651032,2.198824434,116.5629878
Mauritania,0,32.01933582,1.266610002,-17.40801693,2.927320332,91.61037136
Malta,1,3.930100863,5.505675834,4.691057485,1.996754408,287.6414311
Mauritius,0,10.63386133,3.556904271,-6.028825139,0.181061469,108.1387638
Malawi,0,79.95087904,2.778269574,3.608498048,2.80309477,73.32661186
Mexico,0,9.758462423,1.544045264,1.538007251,1.277676363,64.9253579
Malaysia,1,4.769773637,4.595193579,2.549172338,1.340490659,138.3122312
Mozambique,0,88.85704783,4.434559392,2.384586118,2.798568532,111.4651747
Namibia,0,27.61747181,3.900747107,29.43247541,1.77153652,103.7264335
Niger,0,78.14143846,2.563263407,10.81255035,3.899889965,45.74160084
Nigeria,0,87.29924781,3.513963445,12.98637671,2.665019173,30.88519372
Nicaragua,0,51.83928357,3.417044258,-0.439631139,1.315508853,106.6983784
Netherlands,1,5.659627737,1.059101254,-1.332493691,0.359828173,150.0537554
Norway,1,57.19640195,0.826056236,-0.712158473,1.127736677,68.66328283
Nepal,0,84.37478906,6.032235943,22.82703235,-0.040799013,52.2551855
New Zealand,1,30.32263714,2.072257178,8.333837546,1.510339485,55.17593044
Oman,1,0,-5.153459647,-19.97495752,6.739017689,117.2424368
Panama,0,19.77078859,3.292575557,5.83885725,1.703029701,119.0905722
Peru,0,25.99686493,1.305704682,-1.056908131,1.056972861,46.85312109
Philippines,0,28.58217185,4.611106406,8.277978019,1.646689216,57.46817209
Pakistan,0,46.60452974,2.507376248,2.75599793,2.092276276,30.90124462
Poland,1,11.56931553,3.455982004,12.82345624,-0.074846229,93.47053956
Puerto Rico,0,1.627869144,0.436573539,-6.021325528,-1.633128331,102.3816496
West Bank and Gaza,0,10.53025847,-2.471026305,-3.416314389,2.344077211,67.73983717
Portugal,1,30.45700808,1.337119967,4.065784917,-0.539190467,80.28230788
Palau,1,0,6.173237089,37.06029469,0.113533164,153.7074903
Paraguay,0,63.11693531,3.442783303,9.969241851,1.361597664,67.62884495
Romania,1,24.3318801,3.997544304,1.637264075,-0.374575498,83.27568348
Serbia,0,23.42929075,-1.126397327,-5.109742842,-0.469489291,92.23141853
Russian Federation,1,3.422426946,-1.045257463,-6.384930915,0.217641567,47.80134126
Rwanda,0,88.18130377,3.560870416,5.433549034,2.485533644,43.75334467
Saudi Arabia,1,0.006008742,0.754234777,6.399867974,2.835954922,80.640471
Seychelles,1,1.298537644,2.891898203,8.155002892,1.555395709,187.2571476
Sudan,0,62.43602847,0.232311396,-2.163153071,2.412115688,19.45893761
Sweden,1,49.69341469,1.644244006,6.945021596,0.992219729,82.93353169
Singapore,1,0.621625223,2.59715384,1.7576611,1.298440178,360.4673192
Slovenia,1,22.30048656,2.667134059,1.712536518,0.098351922,145.5497502
Slovak Republic,1,12.24275155,2.5420291,6.982602493,0.097045422,178.1860616
Sierra Leone,0,73.05428622,2.274599807,-5.050145806,2.206884922,83.18579526
Senegal,0,43.35706358,3.66278105,22.83514121,2.806700536,58.44252898
South Sudan,0,29.82963329,1.416363538,-2.5,1.911562502,64.63451781
El Salvador,0,28.26544315,1.241729222,-9.57182258,0.462663702,78.10443544
Sint Maarten (Dutch part),0,0.047959511,-1.325377725,8.666959965,2.902265834,205.2175864
Eswatini,0,67.69408862,0.159172806,3.099073387,0.750005807,88.35427342
Chad,0,89.2400627,3.433016822,12.18747581,3.296945541,76.62652317
Togo,0,72.1615066,3.200959831,-1.136839473,2.601149524,97.46442236
Thailand,0,24.09572604,0.550276983,-11.96757395,0.430842722,130.9055251
Timor-Leste,0,18.42248837,2.578545125,7.319679677,1.807556089,82.74780396
Turkey,1,11.60788754,3.16878332,3.641448857,1.701972386,53.76630117
Tanzania,0,86.67360332,3.581372758,9.59557432,3.002104081,45.3560221
Ukraine,0,3.499746218,-1.144921089,-34.514312,-0.479259791,100.6917825
Uganda,0,90.22213006,1.641212971,-2.126093875,3.352319631,36.16971012
United States,1,8.754308954,1.78278554,4.394881094,0.727517696,29.95958782
Uruguay,1,55.39133872,2.904977807,0.010458984,0.323864956,49.08762406
"Venezuela, RB",0,12.3158343,-4.731050162,-22.92432193,0.874378499,48.09081353
Vietnam,0,37.03547263,4.872999042,8.900080169,1.053479554,169.5345132
Vanuatu,0,32.14283066,-0.507502734,9.539528898,2.786992876,97.94713623
South Africa,0,16.5881622,0.247278816,-1.795231806,1.583168287,64.43450111
Zimbabwe,0,81.0492915,0.596198049,12.73016229,1.754692348,54.67161542
